Feature,Mean,Median,Mode,Std_Dev,Min,25%,75%,Max,IQR
Quantity,1.73,1.0,1.0,1.02,1.0,1.0,2.0,5.0,1.0
Price_Per_Unit,107.63,56.74,42.92,148.17,14.35,34.65,118.3,682.26,83.65
Total_Amount,186.59,94.28,18.8,321.27,14.38,45.94,175.81,3372.8,129.87
Discount_Rate,0.07,0.05,0.0,0.06,0.0,0.0,0.1,0.2,0.1
Discount_Amount,12.11,3.51,0.0,30.62,0.0,0.0,11.39,671.86,11.39
Net_Amount,174.48,87.92,17.39,302.88,11.5,41.92,166.16,3372.8,124.24
Profit,58.29,27.34,6.83,108.87,1.81,13.42,56.03,1475.64,42.61
Profit_Margin_Pct,32.66,33.16,27.44,6.92,12.57,28.2,38.04,44.98,9.84
Age,37.91,38.0,18.0,12.54,18.0,28.0,46.0,72.0,18.0
